"rater_id"	"joke_id"	"weekend"	"useful"	"Joke"	"Timing"
8	"9"	7	NA	4	4
8	"10"	7	NA	4	4
8	"11"	7	NA	2	4
8	"12"	7	NA	3	3
8	"13"	7	NA	NA	2
8	"14"	7	NA	3	4
8	"15"	7	NA	1	2
8	"16"	7	NA	1	2
8	"17"	7	NA	3	2
8	"18"	7	NA	NA	NA
8	"19"	7	NA	NA	NA
8	"20"	7	NA	3	4
8	"21"	7	NA	3	1
8	"22"	7	NA	4	4
8	"23"	7	NA	4	4
8	"24"	7	NA	1	3
8	"25"	7	NA	3	2
8	"26"	7	NA	2	2
8	"27"	7	NA	1	1
8	"28"	7	NA	1	2
8	"29"	7	NA	4	3
8	"30"	7	NA	4	4
8	"31"	7	NA	1	3
8	"32"	7	NA	3	1
8	"33"	7	NA	4	4
8	"34"	7	NA	4	3
8	"35"	7	NA	2	2
8	"36"	7	NA	4	2
8	"37"	7	NA	4	4
8	"38"	7	NA	3	2
8	"39"	7	NA	4	4
8	"40"	7	NA	1	2
8	"41"	7	NA	4	4
8	"42"	7	NA	4	4
8	"43"	7	NA	1	2
8	"44"	7	NA	3	2
8	"45"	7	NA	2	1
8	"46"	7	NA	3	2
8	"47"	7	NA	2	3
8	"48"	7	NA	2	4
8	"49"	7	NA	2	2
8	"50"	7	NA	NA	NA
8	"51"	7	NA	NA	NA
8	"52"	7	NA	1	1
8	"53"	7	NA	1	1
8	"54"	7	NA	2	3
8	"55"	7	NA	1	2
8	"56"	7	NA	2	3
8	"57"	7	NA	2	2
8	"58"	7	NA	1	3
8	"59"	7	NA	2	4
8	"60"	7	NA	1	1
8	"61"	7	NA	1	3
8	"62"	7	NA	2	1
8	"63"	7	NA	4	4
8	"64"	7	NA	3	3
11	"1"	3	"No, we might learn something here"	2	2
11	"2"	3	"No, we might learn something here"	1	1
11	"3"	3	"No, we might learn something here"	1	2
11	"4"	3	"No, we might learn something here"	1	1
11	"5"	3	"No, we might learn something here"	1	2
11	"6"	3	"No, we might learn something here"	2	2
11	"7"	3	"No, we might learn something here"	1	1
11	"8"	3	"No, we might learn something here"	3	3
11	"9"	3	"No, we might learn something here"	1	1
11	"10"	3	"No, we might learn something here"	2	3
11	"11"	3	"No, we might learn something here"	2	2
11	"12"	3	"No, we might learn something here"	2	3
11	"13"	3	"No, we might learn something here"	1	1
11	"14"	3	"No, we might learn something here"	2	4
11	"15"	3	"No, we might learn something here"	1	2
11	"16"	3	"No, we might learn something here"	2	3
11	"17"	3	"No, we might learn something here"	2	3
11	"18"	3	"No, we might learn something here"	1	2
11	"19"	3	"No, we might learn something here"	2	2
11	"20"	3	"No, we might learn something here"	1	1
11	"21"	3	"No, we might learn something here"	2	2
11	"22"	3	"No, we might learn something here"	1	3
11	"23"	3	"No, we might learn something here"	4	2
11	"24"	3	"No, we might learn something here"	2	4
11	"25"	3	"No, we might learn something here"	4	4
11	"26"	3	"No, we might learn something here"	2	3
11	"27"	3	"No, we might learn something here"	2	1
11	"28"	3	"No, we might learn something here"	1	1
11	"29"	3	"No, we might learn something here"	2	NA
11	"30"	3	"No, we might learn something here"	NA	NA
11	"31"	3	"No, we might learn something here"	NA	NA
11	"32"	3	"No, we might learn something here"	2	2
11	"33"	3	"No, we might learn something here"	2	3
11	"34"	3	"No, we might learn something here"	3	2
11	"35"	3	"No, we might learn something here"	1	1
11	"36"	3	"No, we might learn something here"	2	3
11	"37"	3	"No, we might learn something here"	3	4
11	"38"	3	"No, we might learn something here"	3	2
11	"39"	3	"No, we might learn something here"	2	2
11	"40"	3	"No, we might learn something here"	1	1
11	"41"	3	"No, we might learn something here"	2	1
11	"42"	3	"No, we might learn something here"	2	4
11	"43"	3	"No, we might learn something here"	2	3
11	"44"	3	"No, we might learn something here"	1	1
11	"45"	3	"No, we might learn something here"	1	1
11	"46"	3	"No, we might learn something here"	1	3
11	"47"	3	"No, we might learn something here"	2	2
11	"48"	3	"No, we might learn something here"	3	4
11	"49"	3	"No, we might learn something here"	1	2
11	"50"	3	"No, we might learn something here"	1	3
11	"51"	3	"No, we might learn something here"	2	3
11	"52"	3	"No, we might learn something here"	2	3
11	"53"	3	"No, we might learn something here"	1	3
11	"54"	3	"No, we might learn something here"	2	3
11	"55"	3	"No, we might learn something here"	2	3
11	"56"	3	"No, we might learn something here"	2	3
11	"57"	3	"No, we might learn something here"	2	3
11	"58"	3	"No, we might learn something here"	1	3
11	"59"	3	"No, we might learn something here"	3	3
11	"60"	3	"No, we might learn something here"	2	1
11	"61"	3	"No, we might learn something here"	1	2
11	"62"	3	"No, we might learn something here"	NA	NA
11	"63"	3	"No, we might learn something here"	NA	NA
11	"64"	3	"No, we might learn something here"	2	3
4	"1"	10	"No, we might learn something here"	1	2
4	"2"	10	"No, we might learn something here"	1	1
4	"3"	10	"No, we might learn something here"	4	4
4	"4"	10	"No, we might learn something here"	3	2
4	"5"	10	"No, we might learn something here"	3	2
4	"6"	10	"No, we might learn something here"	4	3
4	"7"	10	"No, we might learn something here"	3	4
4	"8"	10	"No, we might learn something here"	3	3
4	"9"	10	"No, we might learn something here"	4	4
4	"10"	10	"No, we might learn something here"	NA	NA
4	"11"	10	"No, we might learn something here"	NA	NA
4	"12"	10	"No, we might learn something here"	4	3
4	"13"	10	"No, we might learn something here"	2	2
4	"14"	10	"No, we might learn something here"	2	4
4	"15"	10	"No, we might learn something here"	2	2
4	"16"	10	"No, we might learn something here"	4	4
4	"17"	10	"No, we might learn something here"	1	3
4	"18"	10	"No, we might learn something here"	4	3
4	"19"	10	"No, we might learn something here"	3	3
4	"20"	10	"No, we might learn something here"	4	2
4	"21"	10	"No, we might learn something here"	4	2
4	"22"	10	"No, we might learn something here"	4	4
4	"23"	10	"No, we might learn something here"	4	4
4	"24"	10	"No, we might learn something here"	4	3
4	"25"	10	"No, we might learn something here"	3	3
4	"26"	10	"No, we might learn something here"	1	3
4	"27"	10	"No, we might learn something here"	2	3
4	"28"	10	"No, we might learn something here"	1	1
4	"29"	10	"No, we might learn something here"	3	1
4	"30"	10	"No, we might learn something here"	1	1
4	"31"	10	"No, we might learn something here"	4	3
4	"32"	10	"No, we might learn something here"	3	3
4	"33"	10	"No, we might learn something here"	3	1
4	"34"	10	"No, we might learn something here"	4	3
4	"35"	10	"No, we might learn something here"	1	3
4	"36"	10	"No, we might learn something here"	3	4
4	"37"	10	"No, we might learn something here"	3	4
4	"38"	10	"No, we might learn something here"	3	2
4	"39"	10	"No, we might learn something here"	4	4
4	"40"	10	"No, we might learn something here"	2	2
4	"41"	10	"No, we might learn something here"	3	3
4	"42"	10	"No, we might learn something here"	NA	NA
4	"43"	10	"No, we might learn something here"	NA	NA
4	"44"	10	"No, we might learn something here"	4	3
4	"45"	10	"No, we might learn something here"	2	3
4	"46"	10	"No, we might learn something here"	1	3
4	"47"	10	"No, we might learn something here"	3	2
4	"48"	10	"No, we might learn something here"	3	4
4	"49"	10	"No, we might learn something here"	3	2
4	"50"	10	"No, we might learn something here"	1	3
4	"51"	10	"No, we might learn something here"	1	3
4	"52"	10	"No, we might learn something here"	3	2
4	"53"	10	"No, we might learn something here"	1	1
4	"54"	10	"No, we might learn something here"	3	2
4	"55"	10	"No, we might learn something here"	3	2
4	"56"	10	"No, we might learn something here"	4	4
4	"57"	10	"No, we might learn something here"	3	3
4	"58"	10	"No, we might learn something here"	4	4
4	"59"	10	"No, we might learn something here"	3	2
4	"60"	10	"No, we might learn something here"	2	1
4	"61"	10	"No, we might learn something here"	3	1
4	"62"	10	"No, we might learn something here"	3	1
4	"63"	10	"No, we might learn something here"	4	3
4	"64"	10	"No, we might learn something here"	4	4
23	"1"	6	"No, we might learn something here"	3	1
23	"2"	6	"No, we might learn something here"	1	4
23	"3"	6	"No, we might learn something here"	NA	NA
23	"4"	6	"No, we might learn something here"	NA	NA
23	"5"	6	"No, we might learn something here"	3	4
23	"6"	6	"No, we might learn something here"	3	4
23	"7"	6	"No, we might learn something here"	2	3
23	"8"	6	"No, we might learn something here"	2	4
23	"9"	6	"No, we might learn something here"	3	4
23	"10"	6	"No, we might learn something here"	2	4
23	"11"	6	"No, we might learn something here"	2	3
23	"12"	6	"No, we might learn something here"	3	4
23	"13"	6	"No, we might learn something here"	1	2
23	"14"	6	"No, we might learn something here"	2	4
23	"15"	6	"No, we might learn something here"	1	2
23	"16"	6	"No, we might learn something here"	2	3
23	"17"	6	"No, we might learn something here"	3	3
23	"18"	6	"No, we might learn something here"	1	3
23	"19"	6	"No, we might learn something here"	3	3
23	"20"	6	"No, we might learn something here"	3	2
23	"21"	6	"No, we might learn something here"	3	3
23	"22"	6	"No, we might learn something here"	2	3
23	"23"	6	"No, we might learn something here"	3	4
23	"24"	6	"No, we might learn something here"	3	3
23	"25"	6	"No, we might learn something here"	2	3
23	"26"	6	"No, we might learn something here"	NA	3
23	"27"	6	"No, we might learn something here"	2	2
23	"28"	6	"No, we might learn something here"	3	1
23	"29"	6	"No, we might learn something here"	3	3
23	"30"	6	"No, we might learn something here"	3	2
23	"31"	6	"No, we might learn something here"	2	3
23	"32"	6	"No, we might learn something here"	2	3
23	"33"	6	"No, we might learn something here"	3	3
23	"34"	6	"No, we might learn something here"	4	3
